已标注正确的字图片统计如下：
 char  | range_0_85_to_0_90 | range_0_90_to_0_95 | range_0_95_to_1 
  醐   |                  1 |                  1 |              77
  訊   |                 21 |                 27 |              76
  羸   |                 30 |                 65 |              75
  錢   |                 26 |                 35 |              75
  全   |                 12 |                 21 |              75
  蔭   |                  0 |                  0 |              74
  宴   |                  0 |                  0 |              73
  狗   |                 15 |                 17 |              73
  夏   |                  1 |                  0 |              73
  詳   |                 14 |                 22 |              72
  璃   |                240 |                271 |              72
  塚   |                  1 |                  8 |              71
  睒   |                 13 |                 19 |              70
  咽   |                  6 |                 17 |              70
  崖   |                  0 |                  0 |              70
  碎   |                 25 |                 35 |              70
  胞   |                  0 |                  0 |              70
  稟   |                  2 |                  3 |              70
  雀   |                 16 |                 22 |              68
  曾   |                534 |                612 |              67
  綺   |                 32 |                 67 |              66
  薄   |                226 |                233 |              65
  許   |                217 |                236 |              64
  芽   |                  1 |                  5 |              63
  頒   |                 23 |                 29 |              62
  捶   |                  2 |                  3 |              62
  赫   |                  2 |                  4 |              62
  船   |                  0 |                  0 |              60
  傲   |                  0 |                  0 |              60
  川   |                 16 |                 13 |              59
  紛   |                  0 |                  0 |              59
  涉   |                  0 |                  0 |              59
  賖   |                  0 |                  0 |              59
  戾   |                  0 |                  0 |              59
  壁   |                 35 |                 42 |              59
  被   |                418 |                483 |              58
  譏   |                 36 |                 48 |              58
  絡   |                 12 |                 16 |              58
  寬   |                  7 |                 14 |              57
  閻   |                363 |                377 |              57
  瑟   |                  1 |                  0 |              56
  憎   |                158 |                125 |              56
  煙   |                 21 |                 32 |              55
  接   |                 20 |                 30 |              55
  蜎   |                  0 |                  3 |              55
  牆   |                 30 |                 51 |              55
  讎   |                 13 |                 11 |              55
  瑠   |                  0 |                  0 |              55
  丐   |                  0 |                  0 |              54
  戊   |                  2 |                  5 |              54
  猴   |                 20 |                 20 |              54
  蝱   |                  0 |                  0 |              54
  選   |                 16 |                 27 |              53
  懊   |                  0 |                  0 |              53
  看   |                  1 |                  5 |              53
  攀   |                 30 |                 48 |              52
  崙   |                 16 |                 27 |              52
  庠   |                  0 |                  4 |              52
  齋   |                 21 |                 39 |              52
  菀   |                  0 |                  0 |              51
  稠   |                 18 |                 21 |              51
  夙   |                  0 |                  0 |              50
  勒   |                412 |                607 |              50
  慇   |                 27 |                 48 |              50
  脅   |                 31 |                 37 |              49
  溢   |                  9 |                 15 |              49
  戌   |                  0 |                  3 |              49
  傭   |                  1 |                  3 |              48
  末   |                359 |                459 |              48
  峯   |                 21 |                 21 |              48
  墮   |                772 |                637 |              48
  宋   |                  0 |                  0 |              48
  煮   |                  0 |                  0 |              47
  案   |                  0 |                  0 |              46
  殷   |                 15 |                 25 |              46
  陀   |                 52 |                127 |              45
  癸   |                  0 |                  0 |              45
  隙   |                 20 |                 12 |              45
  姿   |                  0 |                  0 |              44
  囊   |                  0 |                  0 |              43
  凝   |                  0 |                  0 |              42
  淡   |                  0 |                  0 |              42
  鍼   |                  0 |                  0 |              41
  遲   |                 11 |                 28 |              40
  涌   |                102 |                 99 |              40
  逃   |                  0 |                  0 |              39
  袒   |                 57 |                 60 |              39
  摽   |                  0 |                  2 |              39
  蚊   |                 18 |                 15 |              39
  鸚   |                  0 |                  2 |              39
  溫   |                 11 |                 18 |              39
  偶   |                  0 |                  0 |              38
  厥   |                  7 |                 18 |              38
  瞬   |                  0 |                  0 |              38
  沾   |                  0 |                  0 |              38
  牧   |                  1 |                  1 |              37
  完   |                  1 |                  2 |              37
  堵   |                 29 |                 23 |              37
  旱   |                  9 |                 12 |              36
  嗚   |                 12 |                 19 |              36
  逮   |                546 |                485 |              36
  倫   |                124 |                158 |              36
  墨   |                  0 |                  0 |              36
  屛   |                  0 |                  0 |              35
  禪   |                977 |                767 |              35
  雕   |                  0 |                  0 |              35
  宇   |                  8 |                  7 |              35
  州   |                  0 |                  0 |              35
  躍   |                253 |                191 |              35
  尿   |                  0 |                  0 |              34
  喉   |                  0 |                  0 |              34
  津   |                  0 |                  9 |              34
  孰   |                  0 |                  2 |              34
  鼈   |                  0 |                  4 |              34
  踐   |                  0 |                  0 |              34
  扇   |                 12 |                 19 |              34
  妓   |                 21 |                 35 |              33
  曼   |                273 |                322 |              33
  蓮   |                513 |                498 |              33
  園   |                247 |                252 |              33
  謙   |                 33 |                 37 |              33
  飄   |                  9 |                 18 |              33
  唾   |                 15 |                 19 |              33
  促   |                  9 |                 11 |              32
  悴   |                  0 |                  2 |              32
  丁   |                  0 |                  0 |              32
  謀   |                  5 |                 21 |              32
  段   |                 19 |                 20 |              31
  龜   |                 39 |                 19 |              31
  偁   |                  0 |                  0 |              30
  嬉   |                  7 |                 20 |              30
  騰   |                 13 |                 28 |              30
  愍   |                446 |                408 |              30
  臆   |                  0 |                  0 |              30
  附   |                 62 |                 76 |              30
  贍   |                252 |                128 |              30
  姓   |                488 |                434 |              29
  粗   |                  0 |                  5 |              29
  呿   |                  0 |                  1 |              29
  嘉   |                  0 |                  2 |              28
  魂   |                  0 |                  0 |              28
  罽   |                  0 |                  2 |              28
  潮   |                  0 |                  0 |              28
  蠱   |                 19 |                 14 |              27
  礫   |                 17 |                 26 |              27
  息   |                362 |                348 |              27
  鍊   |                  0 |                  0 |              27
  態   |                  0 |                  3 |              27
  恃   |                113 |                117 |              27
  縵   |                  0 |                  0 |              27
  富   |                364 |                396 |              27
  肺   |                  0 |                  0 |              26
  似   |                209 |                317 |              26
  弘   |                149 |                197 |              25
  幟   |                  0 |                  0 |              25
  皇   |                 16 |                 16 |              25
  驢   |                 14 |                 28 |              25
  誰   |                420 |                290 |              24
  痛   |                395 |                308 |              24
  泰   |                 10 |                 18 |              24
  唱   |                127 |                115 |              24
  堆   |                  0 |                  2 |              24
  幢   |                484 |                351 |              24
  圍   |                389 |                294 |              24
  麨   |                  0 |                  0 |              23
  㲉   |                  0 |                  3 |              23
  嘴   |                 13 |                 21 |              22
  旬   |                358 |                361 |              22
  片   |                  6 |                 11 |              22
  兆   |                 13 |                 15 |              21
  旗   |                  0 |                  0 |              21
  石   |                140 |                188 |              21
  主   |                447 |                611 |              21
  蜂   |                  6 |                 26 |              21
  瑚   |                 76 |                 58 |              21
  擯   |                  8 |                 18 |              21
  株   |                  0 |                  2 |              21
  巢   |                  0 |                  0 |              20
  織   |                  0 |                  0 |              20
  犯   |                406 |                455 |              20
  湩   |                  0 |                  0 |              19
  兼   |                 27 |                 24 |              19
  輝   |                  2 |                 13 |              19
  繽   |                  0 |                  0 |              19
  館   |                  0 |                  0 |              19
  珠   |                472 |                415 |              19
  聚   |                911 |                790 |              19
  臨   |                143 |                103 |              19
  夕   |                  0 |                  0 |              18
  突   |                  7 |                 10 |              18
  蒲   |                  0 |                  0 |              18
  猫   |                  0 |                  0 |              18
  露   |                333 |                295 |              18
  悼   |                  0 |                  1 |              18
  飮   |                478 |                433 |              18
  箏   |                  0 |                  0 |              18
  洹   |                422 |                331 |              17
  關   |                 27 |                 42 |              17
  楗   |                  0 |                  0 |              17
  娶   |                  0 |                  1 |              17
  酬   |                  6 |                 17 |              17
  星   |                219 |                202 |              17
  軀   |                 16 |                 19 |              17
  葦   |                  0 |                  0 |              17
  閼   |                  0 |                  0 |              17
  慜   |                  0 |                  0 |              17
  斂   |                  0 |                  3 |              17
  懌   |                  0 |                  0 |              17
  戟   |                 12 |                 19 |              17
  饌   |                  8 |                 22 |              17
  兇   |                  8 |                 10 |              16
  蟻   |                  0 |                  5 |              16
  尟   |                  5 |                 22 |              16
  㷿   |                  0 |                  0 |              16
  鄔   |                117 |                 87 |              16
  秦   |                 15 |                 26 |              16
  筏   |                  8 |                 16 |              16
  癊   |                  0 |                  2 |              15
  瑙   |                 78 |                 48 |              15
  顧   |                193 |                 87 |              15
  貞   |                  9 |                 17 |              15
  狸   |                  0 |                  0 |              15
  螢   |                  9 |                 18 |              14
  佩   |                  2 |                 14 |              14
  澓   |                  0 |                  0 |              14
  裔   |                  1 |                  0 |              13
  檐   |                  9 |                 17 |              13
  璧   |                  8 |                 18 |              13
  欻   |                  7 |                 18 |              13
  例   |                  0 |                  0 |              12
  頞   |                  8 |                 21 |              12
  耽   |                 94 |                 64 |              12
  技   |                  0 |                  2 |              12
  祖   |                  4 |                 10 |              12
  濯   |                  0 |                  0 |              12
  孤   |                 87 |                 64 |              12
  口   |                499 |                784 |              12
  魄   |                  4 |                 20 |              11
  瀑   |                 10 |                 14 |              11
  纖   |                 20 |                 21 |              11
  泣   |                 73 |                 87 |              11
  臥   |                306 |                218 |              11
  甜   |                  8 |                 11 |              11
  歇   |                  5 |                 12 |              11
  否   |                  0 |                  0 |              11
  御   |                241 |                191 |              11
  酒   |                 72 |                 65 |              11
  隔   |                  3 |                 17 |              11
  喇   |                  1 |                 14 |              11
  監   |                  0 |                  0 |              10
  挑   |                 11 |                 17 |              10
  左   |                149 |                194 |              10
  沈   |                106 |                 34 |              10
  矬   |                  0 |                  0 |              10
  狎   |                  0 |                  0 |              10
  蟆   |                  0 |                  0 |              10
  勅   |                 99 |                149 |              10
  余   |                  5 |                 11 |              10
  壑   |                  0 |                  0 |              10
  繫   |                371 |                266 |              10
  糅   |                  0 |                  0 |              10
  趍   |                  0 |                  0 |              10
  衛   |                200 |                126 |              10
  抑   |                  6 |                 13 |              10
  燼   |                  0 |                  0 |               9
  疑   |                732 |                487 |               9
  彗   |                  0 |                  0 |               9
  繼   |                 10 |                 17 |               9
  笙   |                  0 |                  0 |               9
  掁   |                  0 |                  0 |               9
  溷   |                  0 |                  0 |               9
  鹵   |                  0 |                  3 |               9
  諂   |                191 |                105 |               9
  務   |                 93 |                 49 |               9
  廟   |                 91 |                 59 |               9
  姪   |                  5 |                 18 |               9
  幹   |                  0 |                  1 |               9
  鴿   |                 15 |                 19 |               9
  債   |                 19 |                 17 |               9
  鞔   |                  0 |                  1 |               9
  鑊   |                  0 |                  0 |               8
  榴   |                  0 |                  0 |               8
  拭   |                  5 |                 16 |               8
  榻   |                 18 |                 14 |               8
  毘   |                708 |                333 |               8
  粒   |                  0 |                  0 |               8
  蒜   |                  0 |                  0 |               8
  肖   |                  0 |                  0 |               8
  淑   |                 12 |                 21 |               8
  闓   |                105 |                101 |               8
  闥   |                239 |                164 |               8
  胎   |                213 |                169 |               8
  濟   |                354 |                244 |               8
  藉   |                 19 |                 25 |               8
  暮   |                 11 |                 19 |               7
  亭   |                  0 |                  0 |               7
  鄕   |                 10 |                 15 |               7
  黧   |                  0 |                  0 |               7
  栗   |                 10 |                 11 |               7
  膾   |                  5 |                 15 |               7
  夾   |                  0 |                  0 |               7
  幅   |                  4 |                 11 |               7
  曬   |                  0 |                  0 |               7
  舫   |                  0 |                  0 |               7
  眄   |                  6 |                 15 |               7
  瑩   |                 11 |                 16 |               7
  誥   |                  0 |                  0 |               6
  呰   |                 70 |                 47 |               6
  渚   |                 80 |                 64 |               6
  列   |                 69 |                 73 |               6
  育   |                288 |                142 |               6
  純   |                222 |                177 |               6
  奚   |                 18 |                 15 |               6
  揣   |                  7 |                  8 |               6
  捔   |                  0 |                  0 |               6
  瑞   |                145 |                 73 |               6
  瘳   |                  0 |                  0 |               6
  炭   |                  7 |                 11 |               6
  忽   |                144 |                 86 |               6
  俯   |                  5 |                 17 |               6
  冰   |                  7 |                 13 |               6
  會   |                719 |                489 |               6
  閣   |                100 |                 83 |               6
  諧   |                  5 |                 13 |               5
  蠅   |                 12 |                 16 |               5
  箭   |                129 |                121 |               5
  榮   |                 91 |                 36 |               5
  凌   |                 32 |                 14 |               5
  蔓   |                  4 |                 15 |               5
  替   |                  0 |                 14 |               5
  大   |              16725 |              22276 |               5
  癩   |                 14 |                 21 |               5
  謗   |                386 |                209 |               5
  紺   |                 96 |                 38 |               5
  君   |                 76 |                 42 |               5
  攘   |                  0 |                  0 |               5
  瑣   |                  7 |                 15 |               5
  禳   |                  0 |                  1 |               5
  仗   |                 60 |                 65 |               5
  醜   |                 96 |                 59 |               5
  貌   |                203 |                122 |               5
  嘲   |                  0 |                  0 |               5
  叩   |                  0 |                 14 |               5
  曷   |                  5 |                 14 |               4
  昔   |                437 |                249 |               4
  颯   |                  0 |                  0 |               4
  劇   |                 70 |                 45 |               4
  魚   |                 54 |                 36 |               4
  活   |                 89 |                 71 |               4
  直   |                219 |                132 |               4
  副   |                  2 |                 14 |               4
  芸   |                136 |                 78 |               4
  追   |                 92 |                 50 |               4
  臻   |                  4 |                 21 |               4
  勤   |               1793 |                829 |               4
  溪   |                  5 |                 17 |               4
  犢   |                 17 |                 18 |               4
  潔   |                174 |                 75 |               4
  抱   |                 62 |                 48 |               4
  醫   |                254 |                120 |               4
  宮   |                504 |                395 |               4
  寅   |                  2 |                  5 |               4
  焚   |                 86 |                 45 |               4
  干   |                253 |                447 |               4
  弱   |                 99 |                 57 |               4
  稽   |                241 |                107 |               4
  馭   |                  2 |                 13 |               3
  漑   |                  8 |                  7 |               3
  盧   |                159 |                 79 |               3
  憤   |                  8 |                 17 |               3
  稻   |                 85 |                 28 |               3
  狼   |                113 |                 36 |               3
  奘   |                 49 |                 38 |               3
  忉   |                 90 |                 97 |               3
  唼   |                  4 |                 18 |               3
  餓   |                281 |                162 |               3
  古   |                 93 |                122 |               3
  置   |                525 |                232 |               3
  爛   |                 81 |                 32 |               3
  胮   |                 10 |                 11 |               3
  眷   |                588 |                203 |               3
  堂   |                114 |                104 |               3
  練   |                153 |                 77 |               3
  牛   |                209 |                324 |               3
  曲   |                172 |                100 |               3
  融   |                  7 |                 13 |               3
  撲   |                 15 |                  2 |               3
  詐   |                 97 |                 65 |               2
  垂   |                144 |                 65 |               2
  甄   |                  9 |                 13 |               2
  耄   |                  7 |                 10 |               2
  珊   |                126 |                 47 |               2
  勵   |                121 |                 43 |               2
  媚   |                  8 |                 11 |               2
  蒙   |                199 |                 81 |               2
  畔   |                  6 |                 12 |               2
  殃   |                 98 |                 52 |               2
  枯   |                 97 |                 82 |               2
  障   |                823 |                246 |               2
  鹽   |                 15 |                 15 |               2
  撥   |                  9 |                 18 |               2
  單   |                155 |                 47 |               2
  整   |                116 |                 31 |               2
  圓   |               1796 |                606 |               2
  哀   |                396 |                186 |               2
  階   |                 70 |                 20 |               2
  鬪   |                202 |                116 |               2
  坈   |                  0 |                 13 |               2
  刪   |                  9 |                 14 |               2
  羂   |                 94 |                 44 |               2
  犂   |                 68 |                 23 |               2
  囑   |                154 |                 80 |               2
  瘡   |                140 |                 36 |               2
  哉   |                700 |                299 |               2
  甲   |                237 |                221 |               2
  誤   |                122 |                 48 |               2
  叔   |                 14 |                 11 |               2
  穀   |                142 |                 65 |               2
  鎖   |                129 |                 24 |               1
  吝   |                  6 |                 10 |               1
  憐   |                197 |                100 |               1
  翦   |                  9 |                  7 |               1
  翹   |                  7 |                 13 |               1
  疫   |                100 |                 53 |               1
  睡   |                150 |                 27 |               1
  錯   |                112 |                 35 |               1
  衢   |                 83 |                 21 |               1
  柱   |                 81 |                 44 |               1
  淳   |                118 |                 46 |               1
  困   |                107 |                 20 |               1
  湯   |                 99 |                 34 |               1
  軛   |                  3 |                 19 |               1
  罵   |                175 |                127 |               1
  跏   |                 67 |                 29 |               1
  誼   |                113 |                 74 |               1
  囹   |                  6 |                  4 |               1
  搆   |                  4 |                 23 |               1
  怛   |                170 |                 80 |               1
  臺   |                188 |                 53 |               1
  灑   |                112 |                 36 |               1
  湊   |                 17 |                  7 |               1
  裓   |                  3 |                 14 |               1
  掃   |                114 |                 33 |               1
  懷   |                485 |                242 |               1
  嚮   |                 11 |                  5 |               1
  幷   |                343 |                222 |               1
  誠   |                272 |                109 |               1
  蠶   |                  9 |                  9 |               1
  俠   |                  6 |                  8 |               1
  畜   |                258 |                112 |               1
  輿   |                 12 |                 13 |               1
  憶   |                285 |                104 |               1
  擔   |                145 |                 29 |               1
  幾   |                160 |                 19 |               1
  猗   |                129 |                 56 |               1
  眠   |                163 |                107 |               1
  卜   |                  1 |                 12 |               1
  奴   |                107 |                 74 |               1
  篤   |                 93 |                 36 |               1
  循   |                106 |                 29 |               1
  竺   |                105 |                 41 |               1
  蹉   |                 11 |                  8 |               1
  闢   |                 10 |                  2 |               1
  樔   |                  7 |                  5 |               1
  嫉   |                192 |                 60 |               1
  昵   |                  4 |                 10 |               1
  祐   |                123 |                 76 |               1
  寺   |                 84 |                 67 |               1
  饉   |                109 |                 23 |               1
  隘   |                  6 |                  6 |               1
  建   |                391 |                225 |               1
  僥   |                  5 |                 16 |               1
  魅   |                115 |                 60 |               1
  紙   |                  7 |                  9 |               1
  搖   |                131 |                 22 |               1
  猜   |                  8 |                  5 |               1
  奢   |                250 |                 90 |               1
  響   |                223 |                 60 |               1
  搏   |                 17 |                 14 |               1
  斛   |                  3 |                 17 |               1
  齧   |                 13 |                  3 |               1
  混   |                  8 |                  0 |               0
  羯   |                125 |                  0 |               0
  惹   |                  5 |                  0 |               0
  寡   |                 21 |                  0 |               0
  仍   |                 26 |                  0 |               0
  冕   |                  1 |                  0 |               0
  弟   |                144 |                  0 |               0
      |                  2 |                  0 |               0
  訛   |                 15 |                  0 |               0
  洲   |                219 |                  0 |               0
  醒   |                 29 |                  0 |               0
  漫   |                 17 |                  0 |               0
  鑿   |                 11 |                  2 |               0
  儻   |                 30 |                  0 |               0
  肚   |                  8 |                  0 |               0
  輻   |                 58 |                  0 |               0
  莂   |                 82 |                  0 |               0
  氈   |                  7 |                  0 |               0
  痕   |                  1 |                  0 |               0
  薦   |                  4 |                  0 |               0
  菪   |                  1 |                  0 |               0
  匏   |                  1 |                  0 |               0
  韭   |                  7 |                  0 |               0
  伍   |                  6 |                  0 |               0
  鋸   |                  7 |                  0 |               0
  麽   |                 54 |                  0 |               0
  稼   |                 66 |                  0 |               0
  凋   |                  4 |                  0 |               0
  登   |                110 |                  0 |               0
  奧   |                 77 |                  0 |               0
  矯   |                 72 |                  1 |               0
  欚   |                  1 |                  0 |               0
  屍   |                144 |                  0 |               0
  竹   |                235 |                  0 |               0
  攬   |                 40 |                  0 |               0
  鬣   |                  4 |                  0 |               0
  印   |                154 |                  0 |               0
  盆   |                 10 |                  0 |               0
  黨   |                 87 |                  0 |               0
  節   |                 89 |                  0 |               0
  贖   |                  3 |                  0 |               0
  壙   |                 10 |                  5 |               0
  恬   |                 38 |                  0 |               0
  刺   |                 63 |                  0 |               0
  冀   |                 48 |                  0 |               0
  驤   |                  1 |                  0 |               0
  計   |                116 |                  0 |               0
  試   |                104 |                  0 |               0
  囇   |                 20 |                  0 |               0
  轡   |                  5 |                  0 |               0
  卽   |               8074 |               4575 |               0
  呑   |                 22 |                  0 |               0
  籌   |                 61 |                  0 |               0
  婚   |                 11 |                  0 |               0
  堯   |                  6 |                  0 |               0
  續   |                243 |                 17 |               0
  啞   |                 31 |                  0 |               0
  璫   |                 22 |                  0 |               0
  夜   |                119 |                  0 |               0
  晏   |                 11 |                  0 |               0
  醯   |                145 |                  0 |               0
  藍   |                 90 |                 27 |               0
  壯   |                118 |                  0 |               0
  牸   |                  9 |                  0 |               0
  雄   |                 98 |                 10 |               0
  蒱   |                 13 |                  0 |               0
  管   |                  6 |                  0 |               0
  喧   |                 43 |                  0 |               0
  墯   |                 27 |                  0 |               0
  旁   |                  5 |                  0 |               0
  蓬   |                  5 |                  1 |               0
  攣   |                 16 |                  0 |               0
  阬   |                  8 |                  0 |               0
  恧   |                  7 |                  0 |               0
  削   |                  7 |                  0 |               0
  結   |                131 |                  0 |               0
  暝   |                  5 |                  2 |               0
  鉢   |                 80 |                  0 |               0
  鋌   |                  4 |                  0 |               0
  頷   |                 20 |                  0 |               0
  釐   |                 13 |                  0 |               0
  倨   |                  5 |                  0 |               0
  政   |                 61 |                  0 |               0
  蝮   |                  4 |                 12 |               0
  央   |                262 |                135 |               0
  脂   |                 44 |                  1 |               0
  漬   |                 26 |                  0 |               0
  利   |               3818 |                155 |               0
  負   |                 82 |                 12 |               0
  慾   |                 14 |                  0 |               0
  痊   |                  9 |                  0 |               0
  纓   |                 49 |                  0 |               0
  孝   |                 60 |                  0 |               0
  沒   |                124 |                  0 |               0
  拯   |                 47 |                  0 |               0
      |                 12 |                  0 |               0
  軫   |                 31 |                  0 |               0
  坼   |                  3 |                  0 |               0
  榓   |                  9 |                  0 |               0
  㧾   |                 12 |                  0 |               0
  遍   |                691 |                  0 |               0
  嘆   |                 96 |                  0 |               0
  嘗   |                 88 |                 37 |               0
  破   |                119 |                  0 |               0
  避   |                120 |                  0 |               0
  贈   |                 19 |                  0 |               0
  霜   |                 40 |                  0 |               0
  亘   |                 33 |                  0 |               0
  塑   |                  8 |                  0 |               0
  吼   |                 94 |                  0 |               0
  㢌   |                  1 |                  0 |               0
  駒   |                  5 |                  0 |               0
  姨   |                  8 |                  0 |               0
  疣   |                 24 |                  0 |               0
  睺   |                200 |                 28 |               0
  憑   |                 14 |                  0 |               0
  剡   |                  7 |                  0 |               0
  戍   |                 12 |                  0 |               0
  諾   |                 40 |                  0 |               0
  睹   |                124 |                  0 |               0
  蠰   |                  6 |                  1 |               0
  娜   |                 23 |                  0 |               0
  頸   |                 93 |                  1 |               0
  丸   |                 56 |                  0 |               0
  礰   |                  1 |                  0 |               0
  性   |                684 |                  0 |               0
  踦   |                  1 |                  0 |               0
  販   |                 27 |                  0 |               0
  朴   |                 22 |                  0 |               0
  壜   |                 15 |                  0 |               0
  剋   |                 45 |                  0 |               0
  頗   |                130 |                  0 |               0
  怒   |                 67 |                  0 |               0
  譴   |                  9 |                  0 |               0
  魑   |                  5 |                  0 |               0
  儲   |                 19 |                  0 |               0
  藕   |                 11 |                  1 |               0
  曒   |                  1 |                  0 |               0
  躬   |                115 |                  0 |               0
  撮   |                 22 |                  0 |               0
  昭   |                  4 |                  0 |               0
  陳   |                159 |                  0 |               0
  燭   |                 79 |                  0 |               0
  曳   |                  8 |                  0 |               0
  鐶   |                 17 |                  0 |               0
  亢   |                 46 |                  4 |               0
  瀆   |                 14 |                  0 |               0
  躁   |                 60 |                  0 |               0
  人   |              13335 |              10898 |               0
  怏   |                  4 |                  0 |               0
  馨   |                 15 |                  0 |               0
  闊   |                 17 |                  0 |               0
  蚤   |                  7 |                  5 |               0
  裁   |                 15 |                  0 |               0
  鞠   |                  7 |                  0 |               0
  竄   |                  5 |                  9 |               0
  給   |                 58 |                  0 |               0
  牙   |                 70 |                  0 |               0
  幘   |                  8 |                  0 |               0
  羌   |                  3 |                  0 |               0
  聞   |               5607 |                712 |               0
  敷   |                105 |                  0 |               0
  埳   |                  8 |                  0 |               0
  缾   |                 10 |                  0 |               0
  臈   |                  5 |                  0 |               0
  悠   |                  6 |                  0 |               0
  錦   |                 15 |                  0 |               0
  漆   |                  4 |                  0 |               0
  賞   |                 23 |                  0 |               0
  忛   |                  1 |                  0 |               0
  㵎   |                 34 |                  0 |               0
  謦   |                 25 |                  0 |               0
  詮   |                 11 |                  0 |               0
  挂   |                 10 |                  0 |               0
  贊   |                  4 |                  0 |               0
  靜   |               1258 |                  1 |               0
  拘   |                 89 |                  0 |               0
  快   |                 96 |                  0 |               0
  慰   |                 67 |                  0 |               0
  蕩   |                 43 |                  0 |               0
  祿   |                 49 |                  0 |               0
